0	[0.37518631476951625, 0.4077145612551256, 0.2694163300279536]	[0.07434275603427076, 0.08599791616212948, 0.9347099987484303]
1	[0.9743458177463346, 0.3318885463320824, 0.36198994033164333]	[0.15910286331858892, 0.04187616694907503, 0.9257100247850975]
2	[0.6508043572807287, 0.08360398040177175, 0.1720750502331121]	[0.4353280767943466, 0.8635182245709082, 0.300573750524635]
3	[0.19793733080866727, 0.1339815885304918, 0.22271538479356778]	[0.11826689409541202, 0.5144363821808902, 0.031466629417885916]
4	[0.013463455633010768, 0.372873528393842, 0.6405364290087335]	[0.8177203272854225, 0.5839087704847713, 0.3556022505305564]
5	[0.8572009040116748, 0.5077621676297793, 0.7579863958894099]	[0.8124238905487942, 0.4595300313041385, 0.32315686678344924]
6	[0.7157046688830789, 0.21354662454383166, 0.36778136815938467]	[0.5125818011888373, 0.560233235728715, 0.7775934731442453]
7	[0.6075392930825124, 0.05150992107655439, 0.817760271427165]	[0.1354644712760522, 0.6705670372186155, 0.07059992588415342]
8	[0.7824100234570014, 0.3115709677588663, 0.6884862826251935]	[0.8135816406432596, 0.9976083891160148, 0.655411791870699]
9	[0.32747820244861425, 0.7889335414276475, 0.9082982174151667]	[0.383396275572394, 0.5712852288566119, 0.6554370123968319]
10	[0.18033370374910973, 0.8534326025882054, 0.2787691503552677]	[0.6742762077464614, 0.4460333101752084, 0.9541200847908184]
11	[0.12510213776332724, 0.17932478836805044, 0.505381717563028]	[0.5280759163922739, 0.4765845381493493, 0.3491047772441508]
12	[0.3318485592478563, 0.903980092498168, 0.8309564671033384]	[0.9637505503834789, 0.9260857036383177, 0.5158241014384406]
13	[0.5195627572470402, 0.9498805503328965, 0.9371061299700745]	[0.588013776327953, 0.8645809122515986, 0.543183962155259]
14	[0.7755556900892436, 0.05353457139554685, 0.20405391481184942]	[0.024286200016311432, 0.7436896288322074, 0.5983177201963676]
15	[0.4026828038836848, 0.5859612507937412, 0.7268448072906086]	[0.36035499906752777, 0.2081852450538204, 0.2908297106926965]
16	[0.7814985738031835, 0.7922526058429847, 0.23569318387324445]	[0.6288570941580579, 0.7594529371715629, 0.2667318933246756]
17	[0.699140388862604, 0.7477012619886011, 0.39721038886279514]	[0.5110709529152168, 0.7803752909816031, 0.984320734586252]
18	[0.8862623594535862, 0.4777417310724875, 0.9570877348646697]	[0.477158167903058, 0.016081205974248336, 0.177759445315106]
19	[0.6479039469085482, 0.7562358792409714, 0.9421123848412118]	[0.055049711478769026, 0.460064958707019, 0.08794756726091235]
20	[0.4002766050517078, 0.24802682107375196, 0.16114686563185354]	[0.28959620363041605, 0.2238720523920148, 0.43856056288016043]
21	[0.8653089230771899, 0.828682545030135, 0.5089271459583623]	[0.8395890265900784, 0.4437286677907961, 0.7114249125986974]
22	[0.21312304639797364, 0.6014878719060965, 0.008196380332252784]	[0.3994212580252161, 0.6712793385199143, 0.6748317601347102]
23	[0.04439110000857527, 0.24967732194458703, 0.8780025403796065]	[0.3654694913017579, 0.46596210790594417, 0.9166061157443534]
24	[0.7878043074388771, 0.8829892956497242, 0.10122449449019688]	[0.432623268326391, 0.558935099371474, 0.2816931855140422]
25	[0.712861995881265, 0.6886056496596742, 0.43369880969229024]	[0.764774909713694, 0.44656780429783605, 0.4768812001658088]
26	[0.5941566227199643, 0.1610600474626528, 0.2699461211905465]	[0.4782864122160779, 0.1975631963050909, 0.08925039548584601]
27	[0.5778605535776579, 0.23106618406891932, 0.016897407719033586]	[0.6529908649258085, 0.7058426879758584, 0.42505026739691765]
28	[0.13359466009521492, 0.9716002493924082, 0.7253768481822898]	[0.8070301126562479, 0.060255071372840585, 0.7986298195287468]
29	[0.2806281456410824, 0.19117484703665932, 0.9377375763598612]	[0.19239681139925524, 0.05562864841812121, 0.0256166469728083]
30	[0.5640054625935782, 0.5490961553354108, 0.9243941313414862]	[0.05995920746355066, 0.5217577932948527, 0.20040533777630953]
31	[0.4009087574421607, 0.874190948546258, 0.32230826281920544]	[0.4508942443041619, 0.5950252030114904, 0.756037894879367]
32	[0.8421001794584495, 0.03241094216984397, 0.7618013162596027]	[0.44260192710445656, 0.9919030440719772, 0.5039759946206569]
